participantID,DateFirstInitialSurvey,DateSurvey2010_04,DateSurvey2010_05,DateSurvey2010_07,DateSurvey2010_11,DateSurvey2010_12,DateSurvey2011_03,DateSurvey2011_04
fa10-01-62,2010-10-14,NA,NA,NA,2010-11-17,2011-02-04,2011-03-15,2011-05-03
fa10-01-63,2010-10-12,NA,NA,NA,2010-11-09,2010-12-31,2011-03-07,NA
fa10-01-64,2010-10-12,NA,NA,NA,2010-11-10,2010-12-30,2011-03-15,NA
fa10-01-65,2010-10-12,NA,NA,NA,2010-11-10,2010-12-12,2011-03-06,2011-04-23
fa10-01-66,2010-10-12,NA,NA,NA,2010-11-09,2010-12-08,2011-03-06,2011-04-23
fa10-01-67,2010-10-14,NA,NA,NA,2010-11-10,2010-12-12,2011-03-20,2011-05-03
fa10-01-68,2010-10-15,NA,NA,NA,2010-11-09,2010-12-12,2011-03-14,2011-04-26
fa10-01-69,2010-10-13,NA,NA,NA,2010-11-10,2010-12-06,2011-03-07,2011-04-22
fa10-01-70,2010-10-13,NA,NA,NA,2010-11-09,2010-12-05,2011-03-07,2011-04-22
fa10-01-71,2010-10-12,NA,NA,NA,2010-11-09,2010-12-09,2011-03-07,2011-04-25
fa10-01-72,2010-10-13,NA,NA,NA,2010-11-14,2010-12-13,2011-03-07,2011-04-23
fa10-01-73,2010-10-12,NA,NA,NA,2010-11-10,2010-12-05,NA,NA
fa10-01-74,2010-10-13,NA,NA,NA,2010-11-09,2010-12-07,NA,NA
fa10-01-75,2010-10-13,NA,NA,NA,2010-11-17,2011-01-10,2011-03-28,2011-05-26
fa10-01-76,2010-10-14,NA,NA,NA,2010-11-11,NA,2011-03-12,2011-05-12
fa10-01-77,2010-10-13,NA,NA,NA,2010-11-13,2010-12-12,2011-03-19,2011-05-05
fa10-01-78,2010-10-13,NA,NA,NA,2010-11-14,2010-12-13,2011-03-19,2011-05-05
fa10-01-79,2010-10-16,NA,NA,NA,2010-11-09,2011-01-02,2011-03-14,2011-05-03
fa10-01-80,2010-10-17,NA,NA,NA,2010-11-10,2010-12-30,2011-03-15,2011-05-10
fa10-01-81,2010-10-12,NA,NA,NA,2011-02-05,2011-02-05,2011-05-25,2011-05-25
fa10-01-82,2010-10-15,NA,NA,NA,2010-11-10,2011-02-09,2011-05-25,2011-05-25
fa10-01-83,2010-10-20,NA,NA,NA,2010-11-10,NA,NA,NA
fa10-01-85,2010-10-28,NA,NA,NA,2010-11-17,2010-12-14,2011-03-13,2011-04-28
fa10-01-86,2010-10-27,NA,NA,NA,2010-11-09,2010-12-07,2011-03-07,2011-04-27
sp10-01-01,2010-02-24,2010-04-09,NA,NA,2010-11-09,NA,NA,NA
sp10-01-02,2010-02-24,2010-04-30,NA,NA,NA,NA,NA,NA
sp10-01-03,2010-02-25,2010-04-09,2010-05-07,NA,NA,NA,NA,NA
sp10-01-04,2010-02-25,2010-04-09,2010-05-08,NA,NA,NA,NA,NA
sp10-01-05,2010-02-27,2010-04-08,2010-05-11,2010-07-20,2010-11-10,2010-12-06,NA,2011-05-03
sp10-01-06,2010-02-27,2010-04-08,2010-05-07,2010-07-12,2010-11-09,2011-01-21,2011-03-14,2011-07-08
sp10-01-07,2010-02-27,2010-04-08,2010-05-11,2010-07-12,2010-11-10,2011-01-03,2011-03-07,2011-05-03
sp10-01-08,2010-02-27,2010-04-10,2010-05-10,2010-07-21,2010-11-10,2011-01-05,2011-03-07,2011-04-22
sp10-01-09,2010-02-27,2010-04-08,2010-05-07,2010-07-12,NA,NA,NA,NA
sp10-01-10,2010-02-27,2010-04-13,2010-05-10,2010-07-15,NA,NA,NA,NA
sp10-01-11,2010-02-27,2010-04-08,2010-05-13,2010-07-12,2010-11-10,NA,NA,2011-06-07
sp10-01-12,2010-02-27,2010-04-30,NA,NA,2010-11-17,NA,NA,2011-06-19
sp10-01-13,2010-02-27,2010-04-09,2010-05-10,2010-07-15,2010-11-10,2010-12-10,2011-03-08,2011-04-22
sp10-01-14,2010-03-02,2010-04-08,NA,NA,NA,NA,NA,NA
sp10-01-15,2010-04-10,2010-04-30,2010-05-10,NA,NA,NA,NA,NA
sp10-01-16,2010-02-28,2010-04-13,2010-05-10,NA,NA,NA,NA,NA
sp10-01-17,2010-02-28,2010-04-08,2010-05-10,2010-07-12,NA,NA,NA,NA
sp10-01-18,2010-02-28,2010-04-09,2010-05-07,2010-07-12,2010-11-09,2010-12-05,2011-03-07,2011-04-22
